timestamp,yes,no
2024-11-07 00:00:03,0.22,0.78
2024-11-08 00:00:02,0.1,0.9
2024-11-09 00:00:03,0.041,0.959
2024-11-10 00:00:02,0.0265,0.9735
2024-11-11 00:00:02,0.025,0.975
2024-11-12 00:00:02,0.0255,0.9745
2024-11-13 00:00:03,0.0225,0.9775
2024-11-14 00:00:03,0.009,0.991
2024-11-15 00:00:03,0.0225,0.9775
2024-11-16 00:00:03,0.0435,0.9565
2024-11-17 00:00:03,0.028,0.972
2024-11-18 00:00:03,0.0425,0.9575
2024-11-19 00:00:03,0.046,0.954
2024-11-20 00:00:03,0.017,0.983
2024-11-21 00:00:03,0.0155,0.9845
2024-11-22 00:00:03,0.0085,0.9915
2024-11-23 00:00:04,0.001,0.999
