timestamp,yes,no
2024-11-07 00:00:03,0.15,0.85
2024-11-08 00:00:02,0.455,0.545
2024-11-09 00:00:03,0.685,0.315
2024-11-10 00:00:02,0.745,0.255
2024-11-11 00:00:02,0.83,0.17
2024-11-12 00:00:02,0.685,0.315
2024-11-13 00:00:03,0.87,0.13
2024-11-14 00:00:03,0.665,0.335
2024-11-15 00:00:03,0.51,0.49
2024-11-16 00:00:03,0.715,0.285
2024-11-17 00:00:03,0.49,0.51
2024-11-18 00:00:03,0.43,0.57
2024-11-19 00:00:03,0.27,0.73
2024-11-20 00:00:03,0.2,0.8
2024-11-21 00:00:03,0.53,0.47
2024-11-22 00:00:03,0.465,0.535
2024-11-23 00:00:04,0.9955,0.0045
