timestamp,yes,no
2024-11-07 00:00:03,0.07,0.93
2024-11-08 00:00:02,0.016,0.984
2024-11-09 00:00:03,0.0035,0.9965
2024-11-10 00:00:02,0.0055,0.9945
2024-11-11 00:00:02,0.0035,0.9965
2024-11-12 00:00:02,0.0035,0.9965
2024-11-13 00:00:03,0.0035,0.9965
2024-11-14 00:00:03,0.0105,0.9895
2024-11-15 00:00:03,0.005,0.995
2024-11-16 00:00:03,0.0035,0.9965
2024-11-17 00:00:03,0.0055,0.9945
2024-11-18 00:00:03,0.0045,0.9955
2024-11-19 00:00:03,0.001,0.999
2024-11-20 00:00:03,0.0015,0.9985
2024-11-21 00:00:03,0.0005,0.9995
2024-11-22 00:00:03,0.0025,0.9975
2024-11-23 00:00:04,0.0005,0.9995
