timestamp,yes,no
2024-10-09 00:00:02,0.485,0.515
2024-10-10 00:00:02,0.385,0.615
2024-10-11 00:00:03,0.41,0.59
2024-10-12 00:00:02,0.42,0.58
2024-10-13 00:00:03,0.435,0.565
2024-10-14 00:00:02,0.525,0.475
2024-10-15 00:00:02,0.46,0.54
2024-10-16 00:00:03,0.6,0.4
2024-10-17 00:00:02,0.695,0.305
2024-10-18 00:00:02,0.58,0.42
2024-10-19 00:00:02,0.59,0.41
2024-10-20 00:00:02,0.6,0.4
2024-10-21 00:00:02,0.635,0.365
2024-10-22 00:00:02,0.52,0.48
2024-10-23 00:00:02,0.4,0.6
2024-10-24 00:00:03,0.445,0.555
2024-10-25 00:00:03,0.42,0.58
2024-10-26 00:00:03,0.45,0.55
2024-10-27 00:00:03,0.415,0.585
2024-10-28 00:00:03,0.49,0.51
2024-10-29 00:00:02,0.43,0.57
2024-10-30 00:00:03,0.47,0.53
2024-10-31 00:00:03,0.51,0.49
2024-11-01 00:00:03,0.46,0.54
