timestamp,yes,no
2024-09-07 00:00:02,0.255,0.745
2024-09-08 00:00:02,0.135,0.865
2024-09-09 00:00:01,0.115,0.885
2024-09-10 00:00:02,0.115,0.885
2024-09-11 00:00:01,0.11,0.89
2024-09-12 00:00:02,0.11,0.89
2024-09-13 00:00:02,0.11,0.89
2024-09-14 00:00:02,0.12,0.88
2024-09-15 00:00:02,0.12,0.88
2024-09-16 00:00:02,0.115,0.885
2024-09-17 00:00:02,0.12,0.88
2024-09-18 00:00:02,0.12,0.88
2024-09-19 00:00:01,0.115,0.885
2024-09-20 00:00:02,0.12,0.88
2024-09-21 00:00:02,0.12,0.88
2024-09-22 00:00:02,0.12,0.88
2024-09-23 00:00:02,0.12,0.88
2024-09-24 00:00:02,0.115,0.885
2024-09-25 00:00:02,0.11,0.89
2024-09-26 00:00:02,0.11,0.89
2024-09-27 00:00:02,0.11,0.89
2024-09-28 00:00:02,0.11,0.89
2024-09-29 00:00:03,0.105,0.895
2024-09-30 00:00:03,0.105,0.895
2024-10-01 00:00:02,0.1,0.9
2024-10-02 00:00:02,0.0815,0.9185
2024-10-03 00:00:02,0.0975,0.9025
2024-10-04 00:00:02,0.144,0.856
