timestamp,yes,no
2024-09-07 00:00:02,0.13,0.87
2024-09-08 00:00:02,0.075,0.925
2024-09-09 00:00:01,0.075,0.925
2024-09-10 00:00:02,0.055,0.945
2024-09-11 00:00:01,0.055,0.945
2024-09-12 00:00:02,0.055,0.945
2024-09-13 00:00:02,0.055,0.945
2024-09-14 00:00:02,0.055,0.945
2024-09-15 00:00:02,0.055,0.945
2024-09-16 00:00:02,0.055,0.945
2024-09-17 00:00:02,0.055,0.945
2024-09-18 00:00:02,0.055,0.945
2024-09-19 00:00:01,0.045,0.955
2024-09-20 00:00:02,0.05,0.95
2024-09-21 00:00:02,0.05,0.95
2024-09-22 00:00:02,0.045,0.955
2024-09-23 00:00:02,0.045,0.955
2024-09-24 00:00:02,0.045,0.955
2024-09-25 00:00:02,0.045,0.955
2024-09-26 00:00:02,0.045,0.955
2024-09-27 00:00:02,0.04,0.96
2024-09-28 00:00:02,0.04,0.96
2024-09-29 00:00:03,0.04,0.96
2024-09-30 00:00:03,0.045,0.955
2024-10-01 00:00:02,0.0395,0.9605
2024-10-02 00:00:02,0.033,0.967
2024-10-03 00:00:02,0.039,0.961
2024-10-04 00:00:02,0.041,0.959
