timestamp,yes,no
2024-04-06 00:00:03,0.16,0.84
2024-04-07 00:00:02,0.16,0.84
2024-04-08 00:00:03,0.165,0.835
2024-04-09 00:00:03,0.165,0.835
2024-04-10 00:00:03,0.165,0.835
2024-04-11 00:00:03,0.145,0.855
2024-04-12 00:00:03,0.145,0.855
2024-04-13 00:00:02,0.11,0.89
2024-04-14 00:00:03,0.11,0.89
2024-04-15 00:00:03,0.11,0.89
2024-04-16 00:00:03,0.11,0.89
2024-04-17 00:00:03,0.1,0.9
2024-04-18 00:00:03,0.105,0.895
2024-04-19 00:00:03,0.105,0.895
2024-04-20 00:00:02,0.56,0.44
2024-04-21 00:00:03,0.14,0.86
2024-04-22 00:00:03,0.14,0.86
2024-04-23 00:00:02,0.14,0.86
2024-04-24 00:00:03,0.14,0.86
2024-04-25 00:00:03,0.135,0.865
2024-04-26 00:00:02,0.135,0.865
2024-04-27 00:00:03,0.135,0.865
2024-04-28 00:00:03,0.135,0.865
2024-04-29 00:00:03,0.135,0.865
2024-04-30 00:00:04,0.135,0.865
2024-05-01 00:00:03,0.135,0.865
2024-05-02 00:00:03,0.115,0.885
2024-05-03 00:00:03,0.11,0.89
