timestamp,yes,no
2024-04-06 00:00:03,0.17,0.83
2024-04-07 00:00:02,0.185,0.815
2024-04-08 00:00:03,0.195,0.805
2024-04-09 00:00:03,0.2,0.8
2024-04-10 00:00:03,0.2,0.8
2024-04-11 00:00:03,0.2,0.8
2024-04-12 00:00:03,0.2,0.8
2024-04-13 00:00:02,0.2,0.8
2024-04-14 00:00:03,0.2,0.8
2024-04-15 00:00:03,0.195,0.805
2024-04-16 00:00:03,0.195,0.805
2024-04-17 00:00:03,0.195,0.805
2024-04-18 00:00:03,0.195,0.805
2024-04-19 00:00:03,0.2,0.8
2024-04-20 00:00:02,0.09,0.91
2024-04-21 00:00:03,0.18,0.82
2024-04-22 00:00:03,0.18,0.82
2024-04-23 00:00:02,0.18,0.82
2024-04-24 00:00:03,0.18,0.82
2024-04-25 00:00:03,0.175,0.825
2024-04-26 00:00:02,0.15,0.85
2024-04-27 00:00:03,0.145,0.855
2024-04-28 00:00:03,0.145,0.855
2024-04-29 00:00:03,0.145,0.855
2024-04-30 00:00:04,0.145,0.855
2024-05-01 00:00:03,0.155,0.845
2024-05-02 00:00:03,0.175,0.825
2024-05-03 00:00:03,0.205,0.795
