timestamp,yes,no
2024-12-12 00:00:03,0.23,0.77
2024-12-13 00:00:03,0.11,0.89
2024-12-14 00:00:03,0.11,0.89
2024-12-15 00:00:03,0.11,0.89
2024-12-16 00:00:03,0.1,0.9
2024-12-17 00:00:04,0.08,0.92
2024-12-18 00:00:03,0.08,0.92
2024-12-19 00:00:03,0.08,0.92
2024-12-20 00:00:04,0.08,0.92
2024-12-21 00:00:03,0.12,0.88
2024-12-22 00:00:04,0.06,0.94
2024-12-23 00:00:04,0.08,0.92
2024-12-24 00:00:03,0.05,0.95
2024-12-25 00:00:03,0.08,0.92
2024-12-26 00:00:04,0.06,0.94
2024-12-27 00:00:03,0.045,0.955
2024-12-28 00:00:03,0.045,0.955
2024-12-29 00:00:03,0.0855,0.9145
2024-12-30 00:00:03,0.11,0.89
2024-12-31 00:00:04,0.1255,0.8745
2025-01-01 00:00:04,0.1155,0.8845
2025-01-02 00:00:03,0.1105,0.8895
2025-01-03 00:00:04,0.177,0.823
2025-01-04 00:00:03,0.1375,0.8625
2025-01-05 00:00:03,0.1125,0.8875
2025-01-06 00:00:03,0.1075,0.8925
2025-01-07 00:00:04,0.0945,0.9055
2025-01-08 00:00:03,0.0695,0.9305
2025-01-09 00:00:03,0.089,0.911
2025-01-10 00:00:04,0.077,0.923
