timestamp,yes,no
2024-12-12 00:00:03,0.13,0.87
2024-12-13 00:00:03,0.0695,0.9305
2024-12-14 00:00:03,0.0505,0.9495
2024-12-15 00:00:03,0.045,0.955
2024-12-16 00:00:03,0.0405,0.9595
2024-12-17 00:00:04,0.037,0.963
2024-12-18 00:00:03,0.0255,0.9745
2024-12-19 00:00:03,0.0115,0.9885
2024-12-20 00:00:04,0.016,0.984
2024-12-21 00:00:03,0.017,0.983
2024-12-22 00:00:04,0.0145,0.9855
2024-12-23 00:00:04,0.0135,0.9865
2024-12-24 00:00:03,0.0135,0.9865
2024-12-25 00:00:03,0.0135,0.9865
2024-12-26 00:00:04,0.0155,0.9845
2024-12-27 00:00:03,0.016,0.984
2024-12-28 00:00:03,0.015,0.985
2024-12-29 00:00:03,0.016,0.984
2024-12-30 00:00:03,0.0185,0.9815
2024-12-31 00:00:04,0.022,0.978
2025-01-01 00:00:04,0.019,0.981
2025-01-02 00:00:03,0.0245,0.9755
2025-01-03 00:00:04,0.0205,0.9795
2025-01-04 00:00:03,0.0205,0.9795
2025-01-05 00:00:03,0.02,0.98
2025-01-06 00:00:03,0.012,0.988
2025-01-07 00:00:04,0.0075,0.9925
2025-01-08 00:00:03,0.01,0.99
2025-01-09 00:00:03,0.0165,0.9835
2025-01-10 00:00:04,0.0135,0.9865
