timestamp,yes,no
2024-02-03 00:00:02,0.5,0.5
2024-02-04 00:00:03,0.505,0.495
2024-02-05 00:00:02,0.505,0.495
2024-02-06 00:00:02,0.5,0.5
2024-02-07 00:00:02,0.505,0.495
2024-02-08 00:00:02,0.485,0.515
2024-02-09 00:00:02,0.485,0.515
2024-02-10 00:00:03,0.485,0.515
2024-02-11 00:00:03,0.15,0.85
2024-02-12 00:00:03,0.155,0.845
2024-02-13 00:00:02,0.155,0.845
2024-02-14 00:00:03,0.155,0.845
2024-02-15 00:00:03,0.155,0.845
2024-02-16 00:00:03,0.155,0.845
2024-02-17 00:00:02,0.145,0.855
2024-02-18 00:00:02,0.15,0.85
2024-02-19 00:00:02,0.15,0.85
2024-02-20 00:00:02,0.155,0.845
2024-02-21 00:00:03,0.155,0.845
2024-02-22 00:00:02,0.155,0.845
2024-02-23 00:00:02,0.155,0.845
2024-02-24 00:00:02,0.155,0.845
2024-02-25 00:00:02,0.155,0.845
2024-02-26 00:00:02,0.155,0.845
2024-02-27 00:00:02,0.155,0.845
2024-02-28 00:00:03,0.15,0.85
2024-02-29 00:00:02,0.15,0.85
2024-03-01 00:00:02,0.155,0.845
2024-03-02 00:00:03,0.16,0.84
2024-03-03 00:00:03,0.16,0.84
2024-03-04 00:00:03,0.165,0.835
2024-03-05 00:00:03,0.165,0.835
2024-03-06 00:00:03,0.165,0.835
2024-03-07 00:00:02,0.165,0.835
2024-03-08 00:00:02,0.18,0.82
