timestamp,yes,no
2024-03-12 00:00:02,0.275,0.725
2024-03-13 00:00:03,0.33,0.67
2024-03-14 00:00:03,0.34,0.66
2024-03-15 00:00:03,0.345,0.655
2024-03-16 00:00:02,0.345,0.655
2024-03-17 00:00:03,0.355,0.645
2024-03-18 00:00:03,0.355,0.645
2024-03-19 00:00:02,0.355,0.645
2024-03-20 00:00:03,0.355,0.645
2024-03-21 00:00:03,0.355,0.645
2024-03-22 00:00:02,0.355,0.645
2024-03-23 00:00:03,0.67,0.33
2024-03-24 00:00:03,0.37,0.63
2024-03-25 00:00:03,0.375,0.625
2024-03-26 00:00:02,0.37,0.63
2024-03-27 00:00:03,0.37,0.63
2024-03-28 00:00:03,0.37,0.63
2024-03-29 00:00:02,0.37,0.63
2024-03-30 00:00:02,0.395,0.605
2024-03-31 00:00:03,0.4,0.6
2024-04-01 00:00:02,0.4,0.6
2024-04-02 00:00:03,0.4,0.6
2024-04-03 00:00:03,0.365,0.635
2024-04-04 00:00:03,0.365,0.635
2024-04-05 00:00:03,0.365,0.635
