timestamp,yes,no
2024-06-08 00:00:02,0.495,0.505
2024-06-09 00:00:03,0.495,0.505
2024-06-10 00:00:04,0.505,0.495
2024-06-11 00:00:02,0.15,0.85
2024-06-12 00:00:03,0.15,0.85
2024-06-13 00:00:03,0.15,0.85
2024-06-14 00:00:03,0.15,0.85
2024-06-15 00:00:04,0.145,0.855
2024-06-16 00:00:04,0.145,0.855
2024-06-17 00:00:04,0.14,0.86
2024-06-18 00:00:03,0.14,0.86
2024-06-19 00:00:03,0.14,0.86
2024-06-20 00:00:04,0.14,0.86
2024-06-21 00:00:03,0.145,0.855
2024-06-22 00:00:02,0.14,0.86
2024-06-23 00:00:03,0.14,0.86
2024-06-24 00:00:03,0.14,0.86
2024-06-25 00:00:03,0.125,0.875
2024-06-26 00:00:03,0.11,0.89
2024-06-27 00:00:02,0.11,0.89
2024-06-28 00:00:03,0.07,0.93
2024-06-29 00:00:02,0.08,0.92
2024-06-30 00:00:02,0.08,0.92
2024-07-01 00:00:02,0.08,0.92
2024-07-02 00:00:03,0.08,0.92
2024-07-03 00:00:02,0.08,0.92
2024-07-04 00:00:03,0.05,0.95
2024-07-05 00:00:02,0.05,0.95
