timestamp,yes,no
2024-12-12 00:00:03,0.295,0.705
2024-12-13 00:00:03,0.175,0.825
2024-12-14 00:00:03,0.21,0.79
2024-12-15 00:00:03,0.215,0.785
2024-12-16 00:00:03,0.21,0.79
2024-12-17 00:00:04,0.21,0.79
2024-12-18 00:00:03,0.21,0.79
2024-12-19 00:00:03,0.21,0.79
2024-12-20 00:00:04,0.21,0.79
2024-12-21 00:00:03,0.21,0.79
2024-12-22 00:00:04,0.21,0.79
2024-12-23 00:00:04,0.21,0.79
2024-12-24 00:00:03,0.215,0.785
2024-12-25 00:00:03,0.21,0.79
2024-12-26 00:00:04,0.205,0.795
2024-12-27 00:00:03,0.205,0.795
2024-12-28 00:00:03,0.21,0.79
2024-12-29 00:00:03,0.175,0.825
2024-12-30 00:00:03,0.15,0.85
2024-12-31 00:00:04,0.145,0.855
2025-01-01 00:00:04,0.14,0.86
2025-01-02 00:00:03,0.125,0.875
2025-01-03 00:00:04,0.115,0.885
2025-01-04 00:00:03,0.115,0.885
2025-01-05 00:00:03,0.085,0.915
2025-01-06 00:00:03,0.09,0.91
2025-01-07 00:00:04,0.14,0.86
2025-01-08 00:00:03,0.14,0.86
2025-01-09 00:00:03,0.13,0.87
2025-01-10 00:00:04,0.13,0.87
