timestamp,yes,no
2024-12-12 00:00:03,0.425,0.575
2024-12-13 00:00:03,0.285,0.715
2024-12-14 00:00:03,0.28,0.72
2024-12-15 00:00:03,0.28,0.72
2024-12-16 00:00:03,0.275,0.725
2024-12-17 00:00:04,0.27,0.73
2024-12-18 00:00:03,0.27,0.73
2024-12-19 00:00:03,0.265,0.735
2024-12-20 00:00:04,0.33,0.67
2024-12-21 00:00:03,0.325,0.675
2024-12-22 00:00:04,0.32,0.68
2024-12-23 00:00:04,0.32,0.68
2024-12-24 00:00:03,0.32,0.68
2024-12-25 00:00:03,0.32,0.68
2024-12-26 00:00:04,0.32,0.68
2024-12-27 00:00:03,0.365,0.635
2024-12-28 00:00:03,0.34,0.66
2024-12-29 00:00:03,0.32,0.68
2024-12-30 00:00:03,0.32,0.68
2024-12-31 00:00:04,0.33,0.67
2025-01-01 00:00:04,0.39,0.61
2025-01-02 00:00:03,0.39,0.61
2025-01-03 00:00:04,0.36,0.64
2025-01-04 00:00:03,0.335,0.665
2025-01-05 00:00:03,0.34,0.66
2025-01-06 00:00:03,0.42,0.58
2025-01-07 00:00:04,0.48,0.52
2025-01-08 00:00:03,0.43,0.57
2025-01-09 00:00:03,0.405,0.595
2025-01-10 00:00:04,0.565,0.435
