date,signal,active_markets,total_weight
2024-05-24,0.017,2,18
2024-05-25,0.025,2,18
2024-05-26,0.017,2,18
2024-05-27,0.012,2,18
2024-05-28,0.011,2,18
2024-05-29,0.009,2,18
2024-05-30,0.0065,2,18
2024-05-31,0.006,2,18
2024-06-01,0.0015,2,18
2025-05-10,0.7150000000000001,2,2
2025-07-31,0.145,2,66
2025-08-01,0.225,2,66
2025-08-02,0.165,2,66
2025-08-03,0.18,2,66
2025-08-04,0.175,2,66
2025-08-05,0.195,2,66
2025-08-06,0.19,2,66
2025-08-07,0.165,2,66
2025-08-08,0.13,2,66
2025-08-09,0.19912556053811659,4,223
2025-08-10,0.15132286995515698,4,223
2025-08-11,0.13132286995515696,4,223
2025-08-12,0.12872197309417038,4,223
2025-08-13,0.1196322869955157,4,223
2025-08-14,0.12096412556053812,4,223
2025-08-15,0.12259192825112109,4,223
2025-08-16,0.1250762331838565,4,223
2025-08-17,0.11933632286995517,4,223
2025-08-18,0.11800448430493274,4,223
2025-08-19,0.12048878923766816,4,223
2025-08-20,0.12211659192825114,4,223
2025-08-21,0.12182062780269058,4,223
2025-08-22,0.12063677130044843,4,223
2025-08-23,0.11871300448430494,4,223
2025-08-24,0.1291255605381166,4,223
2025-08-25,0.09300448430493273,4,223
2025-08-26,0.12805829596412555,4,223
2025-08-27,0.12057399103139016,4,223
2025-08-28,0.12101793721973095,4,223
2025-08-29,0.11368161434977579,4,223
2025-08-30,0.11323766816143499,4,223
2025-08-31,0.11308968609865472,4,223
2025-09-01,0.11646188340807175,4,223
2025-09-02,0.15,2,157
2025-09-03,0.15,2,157
2025-09-04,0.15,2,157
2025-09-05,0.12,2,157
2025-09-06,0.12,2,157
2025-09-07,0.12,2,157
2025-09-08,0.135,2,157
2025-09-09,0.135,2,157
2025-09-10,0.135,2,157
2025-09-11,0.135,2,157
2025-09-12,0.135,2,157
2025-09-13,0.135,2,157
2025-09-14,0.135,2,157
2025-09-15,0.135,2,157
2025-09-16,0.13,2,157
2025-09-17,0.13,2,157
2025-09-18,0.13,2,157
2025-09-19,0.13,2,157
2025-09-20,0.13,2,157
2025-09-21,0.13,2,157
2025-09-22,0.13,2,157
2025-09-23,0.13,2,157
2025-09-24,0.13,2,157
2025-09-25,0.13,2,157
2025-09-26,0.13,2,157
2025-09-27,0.125,2,157
2025-09-28,0.13,2,157
2025-09-29,0.13,2,157
2025-09-30,0.125,2,157
2025-10-01,0.13,2,157
2025-10-02,0.135,2,157
2025-10-03,0.13,2,157
2025-10-04,0.135,2,157
2025-10-05,0.135,2,157
2025-10-06,0.135,2,157
2025-10-07,0.66,2,157
2025-10-08,0.095,2,157
2025-10-09,0.095,2,157
2025-10-10,0.065,2,157
2025-10-11,0.065,2,157
2025-10-12,0.065,2,157
2025-10-13,0.07,2,157
2025-10-14,0.07,2,157
2025-10-15,0.07,2,157
2025-10-16,0.07,2,157
2025-10-17,0.07,2,157
2025-10-18,0.07,2,157
2025-10-19,0.07,2,157
2025-10-20,0.065,2,157
2025-10-21,0.07,2,157
2025-10-22,0.07,2,157
2025-10-23,0.07,2,157
2025-10-24,0.065,1,80
2025-10-25,0.065,1,80
2025-10-26,0.065,1,80
